song,artist,date,loveSong
"Huntin', Fishin' & Lovin' Every Day",Luke Bryan,15/4/2016,
Uber Everywhere,MadeinTYO,15/4/2016,
Close,Nick Jonas Featuring Tove Lo,15/4/2016,
Moolah,Young Greatness,15/4/2016,
With Them,Young Thug,15/4/2016,
Digits,Young Thug,15/4/2016,
Pop Style,Drake Featuring The Throne,22/4/2016,
One Dance,Drake Featuring WizKid & Kyla,22/4/2016,
Record Year,Eric Church,22/4/2016,
Never Be Like You,Flume Featuring Kai,22/4/2016,
Lights Come On,Jason Aldean,22/4/2016,
Famous,Kanye West,22/4/2016,
Father Stretch My Hands Pt. 1,Kanye West,22/4/2016,
Pt. 2,Kanye West,22/4/2016,
Ultralight Beam,Kanye West,22/4/2016,
Waves,Kanye West,22/4/2016,
FML,Kanye West,22/4/2016,
Real Friends,Kanye West,22/4/2016,
Feedback,Kanye West,22/4/2016,
Wasted Time,Keith Urban,22/4/2016,
Come And See Me,PARTYNEXTDOOR Featuring Drake,22/4/2016,
Kiss It Better,Rihanna,22/4/2016,
Faded,Alan Walker,29/4/2016,
If It Ain't Love,Jason Derulo,29/4/2016,
Ain't Your Mama,Jennifer Lopez,29/4/2016,
Messin' Around,Pitbull Featuring Enrique Iglesias,29/4/2016,
Law,Yo Gotti Featuring E-40,29/4/2016,
Let Me Love You,Ariana Grande Featuring Lil Wayne,6/5/2016,
Wicked,Future,6/5/2016,
I Hate U I Love U,gnash Featuring Olivia O'Brien,6/5/2016,
You Don't Own Me,Grace Featuring G-Eazy,6/5/2016,
Just Like Fire,P!nk,6/5/2016,
When Doves Cry,Prince,6/5/2016,
Little Red Corvette,Prince,6/5/2016,
1999,Prince,6/5/2016,
Purple Rain,Prince And The Revolution,6/5/2016,
Kiss,Prince And The Revolution,6/5/2016,
Let's Go Crazy,Prince And The Revolution,6/5/2016,
Formation,Beyonce,13/5/2016,
Sorry,Beyonce,13/5/2016,
Hold Up,Beyonce,13/5/2016,
Pray You Catch Me,Beyonce,13/5/2016,
All Night,Beyonce,13/5/2016,
Daddy Lessons,Beyonce,13/5/2016,
Sandcastles,Beyonce,13/5/2016,
Love Drought,Beyonce,13/5/2016,
Don't Hurt Yourself,Beyonce Featuring Jack White,13/5/2016,
Forward,Beyonce Featuring James Blake,13/5/2016,
Freedom,Beyonce Featuring Kendrick Lamar,13/5/2016,
6 Inch,Beyonce Featuring The Weeknd,13/5/2016,
Wake Up,Fetty Wap,13/5/2016,
Go Flex,Post Malone,13/5/2016,
Raspberry Beret,Prince And The Revolution,13/5/2016,
I Would Die 4 U,Prince And The Revolution,13/5/2016,
This Is What You Came For,Calvin Harris Featuring Rihanna,20/5/2016,
Hype,Drake,20/5/2016,
Controlla,Drake,20/5/2016,
Still Here,Drake,20/5/2016,
U With Me?,Drake,20/5/2016,
9,Drake,20/5/2016,
Childs Play,Drake,20/5/2016,
Feel No Ways,Drake,20/5/2016,
Weston Road Flows,Drake,20/5/2016,
Redemption,Drake,20/5/2016,
Keep The Family Close,Drake,20/5/2016,
Fire & Desire,Drake,20/5/2016,
Views,Drake,20/5/2016,
Grammys,Drake Featuring Future,20/5/2016,
With You,Drake Featuring PARTYNEXTDOOR,20/5/2016,
Faithful,Drake Featuring Pimp C & dvsn,20/5/2016,
Too Good,Drake Featuring Rihanna,20/5/2016,
H.O.L.Y.,Florida Georgia Line,20/5/2016,
My Boo,Ghost Town DJ's,20/5/2016,
Don't Mind,Kent Jones,20/5/2016,
True Colors,Zedd & Kesha,20/5/2016,
Into You,Ariana Grande,27/5/2016,
Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani,27/5/2016,
Church Bells,Carrie Underwood,27/5/2016,
Can't Stop The Feeling!,Justin Timberlake,27/5/2016,
I'm Sorry,Adam Wakefield,3/6/2016,
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,3/6/2016,
Blessings,Chance The Rapper Featuring Ty Dolla $ign,3/6/2016,
The Fighter,Keith Urban Featuring Carrie Underwood,3/6/2016,
Me Too,Meghan Trainor,3/6/2016,
Wherever I Go,OneRepublic,3/6/2016,
THat Part,ScHoolboy Q Featuring Kanye West,3/6/2016,
Unsteady,X Ambassadors,3/6/2016,
Lonesome Broken And Blue,Adam Wakefield,10/6/2016,
Down That Road,Alisan Porter,10/6/2016,
From The Ground Up,Dan + Shay,10/6/2016,
Every Breath You Take,Hannah Huston,10/6/2016,
Gold,Kiiara,10/6/2016,
With You Tonight / Hasta El Amanecer,Nicky Jam,10/6/2016,
Love On The Brain,Rihanna,10/6/2016,
Fix,Chris Lane,17/6/2016,
"Sit Still, Look Pretty",Daya,17/6/2016,
Different For Girls,Dierks Bentley Featuring Elle King,17/6/2016,
Peter Pan,Kelsea Ballerini,17/6/2016,
Make You Miss Me,Sam Hunt,17/6/2016,
Kill Em With Kindness,Selena Gomez,17/6/2016,
For Free,DJ Khaled Featuring Drake,24/6/2016,
Nothing Is Promised,Mike WiLL Made-It x Rihanna,24/6/2016,
Treat You Better,Shawn Mendes,24/6/2016,
Broccoli,D.R.A.M. Featuring Lil Yachty,1/7/2016,
Toothbrush,DNCE,1/7/2016,
Sweatshirt,Jacob Sartorius,1/7/2016,
Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner",1/7/2016,
Money Longer,Lil Uzi Vert,1/7/2016,
My PYT,Wale,1/7/2016,
What The World Needs Now Is Love,Broadway For Orlando,8/7/2016,
Night's On Fire,David Nail,8/7/2016,
All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,8/7/2016,
Ain't No Stopping Us Now,Kane Brown,8/7/2016,
Dark Necessities,Red Hot Chili Peppers,8/7/2016,
Heathens,twenty one pilots,8/7/2016,
Why You Always Hatin?,YG Featuring Drake & Kamaiyah,8/7/2016,
She's Got A Way With Words,Blake Shelton,15/7/2016,
I Got The Keys,DJ Khaled Featuring Jay Z & Future,15/7/2016,
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",15/7/2016,
Luv,Tory Lanez,15/7/2016,
No Limit,Usher Featuring Young Thug,15/7/2016,
Brand New,Ben Rector,22/7/2016,
Bored To Death,Blink-182,22/7/2016,
M.I.L.F. $,Fergie,22/7/2016,
Lockjaw,French Montana Featuring Kodak Black,22/7/2016,
Flexicution,Logic,22/7/2016,
La Bicicleta,Carlos Vives & Shakira,29/7/2016,
Duele El Corazon,Enrique Iglesias Feat. Wisin or Tinashe & Javada,29/7/2016,
No Money,Galantis,29/7/2016,
Love Make The World Go Round,Jennifer Lopez & Lin-Manuel Miranda,29/7/2016,
You Was Right,Lil Uzi Vert,29/7/2016,
You & Me,Marc E. Bassy Featuring G-Eazy,29/7/2016,
Lush Life,Zara Larsson,29/7/2016,
Girls Talk Boys,5 Seconds Of Summer,5/8/2016,
Make Me...,Britney Spears Featuring G-Eazy,5/8/2016,
"Wat U Mean (Aye, Aye, Aye)",Dae Dae,5/8/2016,
Body Say,Demi Lovato,5/8/2016,
No Shopping,French Montana Featuring Drake,5/8/2016,
A Little More Summertime,Jason Aldean,5/8/2016,
Rise,Katy Perry,5/8/2016,
Mama Said,Lukas Graham,5/8/2016,
Vice,Miranda Lambert,5/8/2016,
Sex With Me,Rihanna,5/8/2016,
It Don't Hurt Like It Used To,Billy Currington,12/8/2016,
Middle Of A Memory,Cole Swindell,12/8/2016,
Tiimmy Turner,Desiigner,12/8/2016,
Back On Road,Gucci Mane & Drake,12/8/2016,
P**** Print,Gucci Mane Featuring Kanye West,12/8/2016,
Hit Or Miss,Jacob Sartorius,12/8/2016,
This Girl,Kungs vs Cookin' On 3 Burners,12/8/2016,
1 Night,Lil Yachty,12/8/2016,
Cold Water,Major Lazer Featuring Justin Bieber & MO,12/8/2016,
Purple Lamborghini,Skrillex & Rick Ross,12/8/2016,
Castaway,Zac Brown Band,12/8/2016,
Holy Key,"DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright",19/8/2016,
Starving,Hailee Steinfeld & Grey Featuring Zedd,19/8/2016,
Setting The World On Fire,Kenny Chesney Featuring P!nk,19/8/2016,
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,19/8/2016,
Closer,The Chainsmokers Featuring Halsey,19/8/2016,
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",26/8/2016,
Let Me Love You,DJ Snake Featuring Justin Bieber,26/8/2016,
You Look Like I Need A Drink,Justin Moore,26/8/2016,
Gangsta,Kehlani,26/8/2016,
Bohemian Rhapsody,Panic! At The Disco,26/8/2016,
Cool Girl,Tove Lo,26/8/2016,
Wishing,"DJ Drama Featuring Chris Brown, Skeme & Lyquin",2/9/2016,
In The Name Of Love,Martin Garrix & Bebe Rexha,2/9/2016,
Look Alive,Rae Sremmurd,2/9/2016,
Rock On,Tucker Beathard,2/9/2016,
Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,2/9/2016,
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,9/9/2016,
Nikes,Frank Ocean,9/9/2016,0
Ivy,Frank Ocean,9/9/2016,1
Pink + White,Frank Ocean,9/9/2016,1
Solo,Frank Ocean,9/9/2016,
Nights,Frank Ocean,9/9/2016,0
Move,Luke Bryan,9/9/2016,
Mercy,Shawn Mendes,9/9/2016,
I Met A Girl,William Michael Morgan,9/9/2016,
Scars To Your Beautiful,Alessia Cara,16/9/2016,
Side To Side,Ariana Grande Featuring Nicki Minaj,16/9/2016,
Grass Ain't Greener,Chris Brown,16/9/2016,
May We All,Florida Georgia Line Featuring Tim McGraw,16/9/2016,
I Know Somebody,LOCASH,16/9/2016,
OOOUUU,Young M.A,16/9/2016,
Wyclef Jean,Young Thug,16/9/2016,
Caroline,Amine,23/9/2016,
Fade,Kanye West,23/9/2016,
The Greatest,Sia Featuring Kendrick Lamar,23/9/2016,0
Goosebumps,Travis Scott,23/9/2016,
X,21 Savage & Metro Boomin Featuring Future,30/9/2016,
Sleep Without You,Brett Young,30/9/2016,
Blue Ain't Your Color,Keith Urban,30/9/2016,
Perfect Illusion,Lady Gaga,30/9/2016,
Deja Vu,Post Malone Featuring Justin Bieber,30/9/2016,
Black Beatles,Rae Sremmurd Featuring Gucci Mane,30/9/2016,
Forever Country,"Artists Of Then, Now & Forever",7/10/2016,
My Way,Calvin Harris,7/10/2016,
Starboy,The Weeknd Featuring Daft Punk,7/10/2016,0
Cancer,twenty one pilots,7/10/2016,
Key To The Streets,YFN Lucci Featuring Migos & Trouble,7/10/2016,
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,7/10/2016,
HandClap,Fitz And The Tantrums,14/10/2016,
Capsize,Frenship & Emily Warren,14/10/2016,
CRZY,Kehlani,14/10/2016,
This Town,Niall Horan,14/10/2016,
Song For Another Time,Old Dominion,14/10/2016,
Fresh Eyes,Andy Grammer,21/10/2016,
Wanna Be That Song,Brett Eldredge,21/10/2016,
LIFTED,CL,21/10/2016,
Say It,Flume Featuring Tove Lo,21/10/2016,
Cranes In The Sky,Solange,21/10/2016,
Don't Touch My Hair,Solange Featuring Sampha,21/10/2016,
All We Know,The Chainsmokers Featuring Phoebe Ryan,21/10/2016,
All Eyez,The Game Featuring Jeremih,21/10/2016,
False Alarm,The Weeknd,21/10/2016,
Today,Brad Paisley,28/10/2016,
24K Magic,Bruno Mars,28/10/2016,
Love Me Now,John Legend,28/10/2016,
All Time Low,Jon Bellion,28/10/2016,
Million Reasons,Lady Gaga,28/10/2016,
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,28/10/2016,
Kids,OneRepublic,28/10/2016,
PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,28/10/2016,
Ain't My Fault,Zara Larsson,28/10/2016,
My Sh*t,A Boogie Wit da Hoodie,4/11/2016,
Dirty Laundry,Carrie Underwood,4/11/2016,
Blow Your Mind (Mwah),Dua Lipa,4/11/2016,
Bad Things,Machine Gun Kelly x Camila Cabello,4/11/2016,
80s Mercedes,Maren Morris,4/11/2016,
Alone,Marshmello,4/11/2016,
How I'll Always Be,Tim McGraw,4/11/2016,
No Heart,21 Savage & Metro Boomin,11/11/2016,
Fake Love,Drake,11/11/2016,
Sneakin',Drake Featuring 21 Savage,11/11/2016,
Say You Won't Let Go,James Arthur,11/11/2016,
A-YO,Lady Gaga,11/11/2016,
Shout Out To My Ex,Little Mix,11/11/2016,
Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,11/11/2016,
What They Want,Russ,11/11/2016,
"Two Birds, One Stone",Drake,18/11/2016,
Better Man,Little Big Town,18/11/2016,
On The Regular,Meek Mill,18/11/2016,
Blue Notes,Meek Mill,18/11/2016,
Blessed Up,Meek Mill,18/11/2016,
Froze,Meek Mill Featuring Lil Uzi Vert & Nicki Minaj,18/11/2016,
The Difference,Meek Mill Featuring Quavo,18/11/2016,
Litty,Meek Mill Featuring Tory Lanez,18/11/2016,
Offended,Meek Mill Featuring Young Thug & 21 Savage,18/11/2016,
Chantaje,Shakira Featuring Maluma,18/11/2016,
Star Of The Show,Thomas Rhett,18/11/2016,
Bounce Back,Big Sean,25/11/2016,
Kill A Word,Eric Church Featuring Rhiannon Giddens,25/11/2016,
Used To This,Future Featuring Drake,25/11/2016,
Selfish,PnB Rock,25/11/2016,
Setting Fires,The Chainsmokers Featuring XYLO,25/11/2016,
We The People....,A Tribe Called Quest,2/12/2016,
A Guy With A Girl,Blake Shelton,2/12/2016,
Me And Your Mama,Childish Gambino,2/12/2016,
Hallelujah,Leonard Cohen,2/12/2016,
Bad And Boujee,Migos Featuring Lil Uzi Vert,2/12/2016,
Call On Me,Starley,2/12/2016,
Slumber Party,Britney Spears Featuring Tinashe,9/12/2016,
That's What I Like,Bruno Mars,9/12/2016,
Versace On The Floor,Bruno Mars,9/12/2016,
Redbone,Childish Gambino,9/12/2016,
Parachute,Chris Stapleton,9/12/2016,
Infinite,Eminem,9/12/2016,
That's My Girl,Fifth Harmony,9/12/2016,
Love On The Weekend,John Mayer,9/12/2016,1
Party Monster,The Weeknd,9/12/2016,
I Feel It Coming,The Weeknd Featuring Daft Punk,9/12/2016,
Play That Song,Train,9/12/2016,
How Far I'll Go,Alessia Cara,16/12/2016,
How Far I'll Go,Auli'i Cravalho,16/12/2016,
You're Welcome,Dwayne Johnson,16/12/2016,
Distraction,Kehlani,16/12/2016,
Make Me (Cry),Noah Cyrus Featuring Labrinth,16/12/2016,
We Know The Way,Opetaia Foa'i & Lin-Manuel Miranda,16/12/2016,
Reminder,The Weeknd,16/12/2016,
Six Feet Under,The Weeknd,16/12/2016,
Die For You,The Weeknd,16/12/2016,
Rockin',The Weeknd,16/12/2016,
Secrets,The Weeknd,16/12/2016,
True Colors,The Weeknd,16/12/2016,
Attention,The Weeknd,16/12/2016,
Nothing Without You,The Weeknd,16/12/2016,
A Lonely Night,The Weeknd,16/12/2016,
Love To Lay,The Weeknd,16/12/2016,
Ordinary Life,The Weeknd,16/12/2016,
All I Know,The Weeknd Featuring Future,16/12/2016,
Sidewalks,The Weeknd Featuring Kendrick Lamar,16/12/2016,
Stargirl Interlude,The Weeknd Featuring Lana Del Rey,16/12/2016,
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,23/12/2016,
Home,gnash Featuring Johnny Yukon,23/12/2016,
False Prophets,J. Cole,23/12/2016,
Dirt On My Boots,Jon Pardi,23/12/2016,
Black Barbies,Nicki Minaj X Mike WiLL Made-It,23/12/2016,
Deja Vu,J. Cole,30/12/2016,
Immortal,J. Cole,30/12/2016,
Neighbors,J. Cole,30/12/2016,
Change,J. Cole,30/12/2016,
She's Mine Pt. 1,J. Cole,30/12/2016,
For Whom The Bell Tolls,J. Cole,30/12/2016,
Ville Mentality,J. Cole,30/12/2016,
4 Your Eyez Only,J. Cole,30/12/2016,
Foldin Clothes,J. Cole,30/12/2016,
She's Mine Pt. 2,J. Cole,30/12/2016,
Everybody Dies,J. Cole,30/12/2016,
Congratulations,Post Malone Featuring Quavo,30/12/2016,
Just Hold On,Steve Aoki & Louis Tomlinson,30/12/2016,
Darlin' Don't Go,Sundance Head,30/12/2016,
At Last,Sundance Head,30/12/2016,
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,30/12/2016,
Red Opps,21 Savage,6/1/2017,
It's The Most Wonderful Time Of The Year,Andy Williams,6/1/2017,
A Holly Jolly Christmas,Burl Ives,6/1/2017,
Party,Chris Brown Featuring Usher & Gucci Mane,6/1/2017,
OTW,DJ Luke Nasty,6/1/2017,
Both,Gucci Mane Featuring Drake,6/1/2017,
Feliz Navidad,Jose Feliciano,6/1/2017,
Swang,Rae Sremmurd,6/1/2017,
Last Christmas,Wham!,6/1/2017,
Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING,13/1/2017,
Moves,Big Sean,13/1/2017,
Shaky Shaky,Daddy Yankee,13/1/2017,
Seein' Red,Dustin Lynch,13/1/2017,
Faith,George Michael,13/1/2017,
Way Down We Go,KALEO,13/1/2017,
No Flockin,Kodak Black,13/1/2017,
iSpy,KYLE Featuring Lil Yachty,13/1/2017,
Think A Little Less,Michael Ray,13/1/2017,
Hate U Love U,Olivia O'Brien,13/1/2017,
Careless Whisper,Wham! Featuring George Michael,13/1/2017,
I Got You,Bebe Rexha,20/1/2017,
The Weekend,Brantley Gilbert,20/1/2017,
Sober Saturday Night,Chris Young Featuring Vince Gill,20/1/2017,
Beibs In The Trap,Travis Scott,20/1/2017,
Water,Ugly God,20/1/2017,
Shape Of You,Ed Sheeran,27/1/2017,1
Castle On The Hill,Ed Sheeran,27/1/2017,0
If The Boot Fits,Granger Smith,27/1/2017,
Location,Khalid,27/1/2017,
Drinkin' Too Much,Sam Hunt,27/1/2017,
Black,Dierks Bentley,3/2/2017,
Not Afraid Anymore,Halsey,3/2/2017,
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,3/2/2017,
Down,Marian Hill,3/2/2017,
T-Shirt,Migos,3/2/2017,
Not Nice,PARTYNEXTDOOR,3/2/2017,
Paris,The Chainsmokers,3/2/2017,
Good Drank,2 Chainz x Gucci Mane x Quavo,10/2/2017,
Dancing On My Own,Calum Scott,10/2/2017,
Guys My Age,Hey Violet,10/2/2017,
Any Ol' Barstool,Jason Aldean,10/2/2017,
Issues,Julia Michaels,10/2/2017,
Road Less Traveled,Lauren Alaina,10/2/2017,
Fast,Luke Bryan,10/2/2017,
Running Back,Wale Featuring Lil Wayne,10/2/2017,
Some Kind Of Drug,G-Eazy Featuring Marc E. Bassy,17/2/2017,
Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,17/2/2017,
Scared To Be Lonely,Martin Garrix & Dua Lipa,17/2/2017,
Call Casting,Migos,17/2/2017,
Get Right Witcha,Migos,17/2/2017,
Culture,Migos Featuring DJ Khaled,17/2/2017,
Slippery,Migos Featuring Gucci Mane,17/2/2017,
Kelly Price,Migos Featuring Travis Scott,17/2/2017,
I'm Better,Missy Elliott Featuring Lamb,17/2/2017,
El Amante,Nicky Jam,17/2/2017,
Body Like A Back Road,Sam Hunt,17/2/2017,
Beauty And The Beast,Ariana Grande & John Legend,24/2/2017,
Halfway Off The Balcony,Big Sean,24/2/2017,
Jump Out The Window,Big Sean,24/2/2017,
Owe Me,Big Sean,24/2/2017,
No Favors,Big Sean Featuring Eminem,24/2/2017,
Light,Big Sean Featuring Jeremih,24/2/2017,
Sacrifices,Big Sean Featuring Migos,24/2/2017,
In Case You Didn't Know,Brett Young,24/2/2017,
Believer,Imagine Dragons,24/2/2017,
I Don't,Mariah Carey Featuring YG,24/2/2017,
Now & Later,Sage The Gemini,24/2/2017,
Look At Me!,XXXTENTACION,24/2/2017,
My Old Man,Zac Brown Band,24/2/2017,
Everyday,Ariana Grande Featuring Future,3/3/2017,
Rolex,Ayo & Teo,3/3/2017,
Shining,DJ Khaled Featuring Beyonce & JAY Z,3/3/2017,
Cash Me Outside (#CashMeOutside),DJ Suede The Remix God,3/3/2017,
Chained To The Rhythm,Katy Perry Featuring Skip Marley,3/3/2017,
Yeah Boy,Kelsea Ballerini,3/3/2017,
Everything 1K,Kodak Black,3/3/2017,
It Ain't Me,Kygo x Selena Gomez,3/3/2017,
Hurricane,Luke Combs,3/3/2017,
Cold,Maroon 5 Featuring Future,3/3/2017,
Bom Bidi Bom,Nick Jonas & Nicki Minaj,3/3/2017,
Heroe Favorito,Romeo Santos,3/3/2017,
Helium,Sia,3/3/2017,
How Would You Feel (Paean),Ed Sheeran,10/3/2017,
Draco,Future,10/3/2017,
Mask Off,Future,10/3/2017,
Rent Money,Future,10/3/2017,
Super Trapper,Future,10/3/2017,
Zoom,Future,10/3/2017,
Tunnel Vision,Kodak Black,10/3/2017,
Love,Lana Del Rey,10/3/2017,
Heavy,Linkin Park Featuring Kiiara,10/3/2017,
Something Just Like This,The Chainsmokers & Coldplay,10/3/2017,1
Slide,Calvin Harris Featuring Frank Ocean & Migos,17/3/2017,
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,17/3/2017,
Selfish,Future Featuring Rihanna,17/3/2017,
Comin Out Strong,Future Featuring The Weeknd,17/3/2017,
Make Love,Gucci Mane & Nicki Minaj,17/3/2017,
Hometown Girl,Josh Turner,17/3/2017,
Green Light,Lorde,17/3/2017,
Losin Control,Russ,17/3/2017,
Stay,Zedd & Alessia Cara,17/3/2017,
Perfect,Ed Sheeran,24/3/2017,1
Dive,Ed Sheeran,24/3/2017,1
Galway Girl,Ed Sheeran,24/3/2017,
Happier,Ed Sheeran,24/3/2017,
New Man,Ed Sheeran,24/3/2017,
Supermarket Flowers,Ed Sheeran,24/3/2017,0
What Do I Know?,Ed Sheeran,24/3/2017,
Eraser,Ed Sheeran,24/3/2017,
Hearts Don't Break Around Here,Ed Sheeran,24/3/2017,
Barcelona,Ed Sheeran,24/3/2017,
Prblms,6LACK,31/3/2017,
Chanel,Frank Ocean,31/3/2017,
Liability,Lorde,31/3/2017,
Regret In Your Tears,Nicki Minaj,31/3/2017,
Changed It,Nicki Minaj & Lil Wayne,31/3/2017,
No Frauds,"Nicki Minaj, Drake & Lil Wayne",31/3/2017,
Passionfruit,Drake,7/4/2017,
Free Smoke,Drake,7/4/2017,
Gyalchester,Drake,7/4/2017,
Teenage Fever,Drake,7/4/2017,
Blem,Drake,7/4/2017,
Jorja Interlude,Drake,7/4/2017,
Madiba Riddim,Drake,7/4/2017,
Do Not Disturb,Drake,7/4/2017,
Nothings Into Somethings,Drake,7/4/2017,
Lose You,Drake,7/4/2017,
Skepta Interlude,Drake,7/4/2017,
Can't Have Everything,Drake,7/4/2017,
Sacrifices,Drake Featuring 2 Chainz & Young Thug,7/4/2017,
No Long Talk,Drake Featuring Giggs,7/4/2017,
KMT,Drake Featuring Giggs,7/4/2017,
Get It Together,Drake Featuring Jorja Smith & Black Coffee,7/4/2017,
Glow,Drake Featuring Kanye West,7/4/2017,
Since Way Back,Drake Featuring PARTYNEXTDOOR,7/4/2017,
Portland,Drake Featuring Quavo & Travis Scott,7/4/2017,
4422,Drake Featuring Sampha,7/4/2017,
Ice Melts,Drake Featuring Young Thug,7/4/2017,
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,7/4/2017,
At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,7/4/2017,
Trap Trap Trap,Rick Ross Featuring Young Thug & Wale,7/4/2017,
The Heart Part 4,Kendrick Lamar,14/4/2017,
XO TOUR Llif3,Lil Uzi Vert,14/4/2017,
Speak To A Girl,Tim McGraw & Faith Hill,14/4/2017,
Still Got Time,Zayn Featuring PARTYNEXTDOOR,14/4/2017,
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,21/4/2017,
Heatstroke,"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",21/4/2017,
How Not To,Dan + Shay,21/4/2017,
Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",21/4/2017,
Humble.,Kendrick Lamar,21/4/2017,0
Conscience,Kodak Black Featuring Future,21/4/2017,
You Look Good,Lady Antebellum,21/4/2017,
Everybody,Logic,21/4/2017,
Tin Man,Miranda Lambert,21/4/2017,
Human,Rag'n'Bone Man,21/4/2017,
First Day Out,Tee Grizzley,21/4/2017,
The One,The Chainsmokers,21/4/2017,
Craving You,Thomas Rhett Featuring Maren Morris,21/4/2017,
Weak,AJR,28/4/2017,
Flatliner,Cole Swindell,28/4/2017,
If I Told You,Darius Rucker,28/4/2017,
Cake,Flo Rida & 99 Percent,28/4/2017,
Unforgettable,French Montana Featuring Swae Lee,28/4/2017,
Now Or Never,Halsey,28/4/2017,
Sign Of The Times,Harry Styles,28/4/2017,
Bar At The End Of The World,Kenny Chesney,28/4/2017,
Everyday We Lit,YFN Lucci Featuring PnB Rock,28/4/2017,
Broken Halos,Chris Stapleton,5/5/2017,
Good Life,G-Eazy & Kehlani,5/5/2017,
DNA.,Kendrick Lamar,5/5/2017,0
Element.,Kendrick Lamar,5/5/2017,0
Yah.,Kendrick Lamar,5/5/2017,
Feel.,Kendrick Lamar,5/5/2017,
Pride.,Kendrick Lamar,5/5/2017,
Lust.,Kendrick Lamar,5/5/2017,
Fear.,Kendrick Lamar,5/5/2017,
Blood.,Kendrick Lamar,5/5/2017,
God.,Kendrick Lamar,5/5/2017,
Duckworth.,Kendrick Lamar,5/5/2017,
Loyalty.,Kendrick Lamar Featuring Rihanna,5/5/2017,
XXX.,Kendrick Lamar Featuring U2,5/5/2017,
Love.,Kendrick Lamar Featuring Zacari,5/5/2017,
The Cure,Lady Gaga,5/5/2017,
Peek A Boo,Lil Yachty Featuring Migos,5/5/2017,
Black SpiderMan,Logic Featuring Damian Lemar Hudson,5/5/2017,
The Night We Met,Lord Huron,5/5/2017,
Do Re Mi,blackbear,12/5/2017,
Attention,Charlie Puth,12/5/2017,1
My Girl,Dylan Scott,12/5/2017,
Lust For Life,Lana Del Rey Featuring The Weeknd,12/5/2017,
Hard Times,Paramore,12/5/2017,0
There's Nothing Holdin' Me Back,Shawn Mendes,12/5/2017,
Privacy,Chris Brown,19/5/2017,
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",19/5/2017,
Sweet Creature,Harry Styles,19/5/2017,
Thunder,Imagine Dragons,19/5/2017,0
Bon Appetit,Katy Perry Featuring Migos,19/5/2017,
First Time,Kygo & Ellie Goulding,19/5/2017,
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,19/5/2017,
Slow Hands,Niall Horan,19/5/2017,
Magnolia,Playboi Carti,19/5/2017,
Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,19/5/2017,
Every Time I Hear That Song,Blake Shelton,26/5/2017,
Either Way,Chris Stapleton,26/5/2017,
Drinkin' Problem,Midland,26/5/2017,
Malibu,Miley Cyrus,26/5/2017,
Rollin,Calvin Harris Featuring Future & Khalid,2/6/2017,
No Promises,Cheat Codes Featuring Demi Lovato,2/6/2017,
Whatever It Takes,Imagine Dragons,2/6/2017,
Ghost In This House,Lauren Duski,2/6/2017,
Felices Los 4,Maluma,2/6/2017,
Bad Liar,Selena Gomez,2/6/2017,
Me Enamore,Shakira,2/6/2017,
Crying In The Club,Camila Cabello,9/6/2017,
Money On You,Chris Blue,9/6/2017,
Most Girls,Hailee Steinfeld,9/6/2017,
Swish Swish,Katy Perry Featuring Nicki Minaj,9/6/2017,
Deja Vu,Lauren Duski,9/6/2017,
The Dance,Lauren Duski,9/6/2017,
Boy,Lee Brice,9/6/2017,
Strip That Down,Liam Payne Featuring Quavo,9/6/2017,
Yours If You Want It,Rascal Flatts,9/6/2017,
