song,artist,date,loveSong
Didn't You Know How Much I Loved You,Kellie Pickler,26/2/2010,1
Already Gone,Kelly Clarkson,1/1/2010,1
All I Ever Wanted,Kelly Clarkson,23/4/2010,1
Mr. Know It All,Kelly Clarkson,23/9/2011,
Stronger (What Doesn't Kill You),Kelly Clarkson,11/11/2011,0
I'll Be Home For Christmas,Kelly Clarkson,23/12/2011,
Dark Side,Kelly Clarkson,6/7/2012,
Catch My Breath,Kelly Clarkson,2/11/2012,
People Like Us,Kelly Clarkson,31/5/2013,
Underneath The Tree,Kelly Clarkson,20/12/2013,
Heartbeat Song,Kelly Clarkson,30/1/2015,0
Piece By Piece,Kelly Clarkson,18/3/2016,
Love So Soft,Kelly Clarkson,29/9/2017,
I Dare You,Kelly Clarkson,1/5/2020,
Don't Rush,Kelly Clarkson Featuring Vince Gill,16/11/2012,
Kisses Down Low,Kelly Rowland,22/3/2013,
Motivation,Kelly Rowland Featuring Lil Wayne,29/4/2011,
Ice,Kelly Rowland Featuring Lil Wayne,14/9/2012,
Love Me Like You Mean It,Kelsea Ballerini,17/4/2015,
Dibs,Kelsea Ballerini,13/11/2015,
Peter Pan,Kelsea Ballerini,17/6/2016,
Yeah Boy,Kelsea Ballerini,3/3/2017,
Legends,Kelsea Ballerini,15/12/2017,
Miss Me More,Kelsea Ballerini,15/2/2019,
homecoming queen?,Kelsea Ballerini,20/9/2019,
Hole In The Bottle,Kelsea Ballerini,23/10/2020,
The Other Girl,Kelsea Ballerini x Halsey,3/4/2020,
Swimming Pools (Drank),Kendrick Lamar,17/8/2012,0
"Bitch, Don't Kill My Vibe",Kendrick Lamar,25/1/2013,0
i,Kendrick Lamar,10/10/2014,
King Kunta,Kendrick Lamar,3/4/2015,0
The Blacker The Berry,Kendrick Lamar,3/4/2015,
Alright,Kendrick Lamar,3/4/2015,
Untitled 02 l 06.23.2014.,Kendrick Lamar,25/3/2016,
Untitled 07 l Levitate,Kendrick Lamar,25/3/2016,
The Heart Part 4,Kendrick Lamar,14/4/2017,
Humble.,Kendrick Lamar,21/4/2017,0
DNA.,Kendrick Lamar,5/5/2017,0
Element.,Kendrick Lamar,5/5/2017,0
Yah.,Kendrick Lamar,5/5/2017,
Feel.,Kendrick Lamar,5/5/2017,
Pride.,Kendrick Lamar,5/5/2017,
Lust.,Kendrick Lamar,5/5/2017,
Fear.,Kendrick Lamar,5/5/2017,
Blood.,Kendrick Lamar,5/5/2017,
God.,Kendrick Lamar,5/5/2017,
Duckworth.,Kendrick Lamar,5/5/2017,
Black Panther,Kendrick Lamar,23/2/2018,0
All The Stars,Kendrick Lamar & SZA,19/1/2018,
Big Shot,Kendrick Lamar & Travis Scott,23/2/2018,
Institutionalized,"Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg",3/4/2015,0
These Walls,"Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat",3/4/2015,
Poetic Justice,Kendrick Lamar Featuring Drake,9/11/2012,
Wesley's Theory,Kendrick Lamar Featuring George Clinton & Thundercat,3/4/2015,0
m.A.A.d City,Kendrick Lamar Featuring MC Eiht,9/11/2012,
Loyalty.,Kendrick Lamar Featuring Rihanna,5/5/2017,
XXX.,Kendrick Lamar Featuring U2,5/5/2017,
Love.,Kendrick Lamar Featuring Zacari,5/5/2017,
Ain't Back Yet,Kenny Chesney,19/3/2010,0
The Boys of Fall,Kenny Chesney,13/8/2010,0
Somewhere With You,Kenny Chesney,19/11/2010,1
Live A Little,Kenny Chesney,25/3/2011,
Reality,Kenny Chesney,18/11/2011,
Come Over,Kenny Chesney,1/6/2012,
El Cerrito Place,Kenny Chesney,26/10/2012,
Pirate Flag,Kenny Chesney,22/2/2013,
When I See This Bar,Kenny Chesney,9/8/2013,
American Kids,Kenny Chesney,4/7/2014,
Til It's Gone,Kenny Chesney,14/11/2014,
Save It For A Rainy Day,Kenny Chesney,7/8/2015,
Noise,Kenny Chesney,15/4/2016,
Bar At The End Of The World,Kenny Chesney,28/4/2017,
All The Pretty Girls,Kenny Chesney,18/8/2017,
Get Along,Kenny Chesney,20/4/2018,
Tip Of My Tongue,Kenny Chesney,26/7/2019,
Here And Now,Kenny Chesney,17/4/2020,
Happy Does,Kenny Chesney,30/10/2020,
Feel Like A Rock Star,Kenny Chesney & Tim McGraw,20/4/2012,
You And Tequila,Kenny Chesney Featuring Grace Potter,10/6/2011,
Setting The World On Fire,Kenny Chesney Featuring P!nk,19/8/2016,
Wild Child,Kenny Chesney With Grace Potter,27/3/2015,
Don't Mind,Kent Jones,20/5/2016,
Pretty Girl Rock,Keri Hilson,10/12/2010,
Praying,Kesha,28/7/2017,
Learn To Let Go,Kesha,18/8/2017,
Woman,Kesha Featuring The Dap-Kings Horns,4/8/2017,
Really Really,Kevin Gates,8/1/2016,
2 Phones,Kevin Gates,22/1/2016,
Change Lanes,Kevin Gates,1/6/2018,
Let It Sing,Kevin Gates,1/6/2018,
By My Lonely,Kevin Gates,11/10/2019,
I Don't Get Tired (#IDGT),Kevin Gates Featuring August Alsina,8/5/2015,
Jam,"Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx",19/2/2016,
I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",19/2/2010,0
Enough Of No Love,Keyshia Cole Featuring Lil Wayne,17/8/2012,
Location,Khalid,27/1/2017,
Young Dumb & Broke,Khalid,4/8/2017,
Better,Khalid,28/9/2018,
Vertigo,Khalid,2/11/2018,
Talk,Khalid,22/2/2019,
My Bad,Khalid,22/3/2019,
Bad Luck,Khalid,19/4/2019,
Up All Night,Khalid,29/11/2019,
Eleven,Khalid,24/1/2020,
Saturday Nights,Khalid & Kane Brown,2/11/2018,
Love Lies,Khalid & Normani,2/3/2018,
The Ways,Khalid & Swae Lee,23/2/2018,
Right Back,Khalid Featuring A Boogie Wit da Hoodie,19/4/2019,
Suncity,Khalid Featuring Empress Of,2/11/2018,
Outta My Head,Khalid With John Mayer,19/4/2019,
Know Your Worth,Khalid x Disclosure,21/2/2020,
Don't Pretend,Khalid x SAFE,19/4/2019,
OTW,"Khalid, Ty Dolla $ign & 6LACK",4/5/2018,
Mr. Rager,Kid Cudi,12/11/2010,0
Marijuana,Kid Cudi,26/11/2010,0
King Wizard,Kid Cudi,4/1/2013,
The Adventures Of Moon Man & Slim Shady,Kid Cudi & Eminem,24/7/2020,
Scott Mescudi Vs. The World,Kid Cudi Featuring Cee-Lo,26/11/2010,0
Erase Me,Kid Cudi Featuring Kanye West,10/9/2010,1
Just What I Am,Kid Cudi Featuring King Chip,19/10/2012,
Pursuit Of Happiness (Nightmare),Kid Cudi Featuring MGMT & Ratatat,7/1/2011,
Show Me,Kid Ink Featuring Chris Brown,4/10/2013,
Main Chick,Kid Ink Featuring Chris Brown,30/5/2014,
Hotel,Kid Ink Featuring Chris Brown,20/2/2015,
Be Real,Kid Ink Featuring DeJ Loaf,1/5/2015,
Promise,Kid Ink Featuring Fetty Wap,4/3/2016,
Bad Ass,Kid Ink Featuring Meek Mill & Wale,8/2/2013,
Body Language,Kid Ink Featuring Usher & Tinashe,24/10/2014,
Ride Out,"Kid Ink, Tyga, Wale, YG & Rich Homie Quan",24/4/2015,
Go!,Kid LAROI & Juice WRLD,26/6/2020,
First Kiss,Kid Rock,13/3/2015,
Reborn,KIDS SEE GHOSTS,22/6/2018,
Feel The Love,KIDS SEE GHOSTS,22/6/2018,
"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS,22/6/2018,
Fire,KIDS SEE GHOSTS,22/6/2018,
Cudi Montage,KIDS SEE GHOSTS,22/6/2018,
KIDS SEE GHOSTS,KIDS SEE GHOSTS,22/6/2018,
4th Dimension,KIDS SEE GHOSTS Featuring Louis Prima,22/6/2018,
Hideaway,Kiesza,1/8/2014,
Gold,Kiiara,10/6/2016,
House Of The Rising Sun,Kimberly Nichole,1/5/2015,
Took Her To The O,King Von,20/11/2020,
All These N**gas,King Von Featuring Lil Durk,20/11/2020,
Crazy Story 2.0,King Von Featuring Lil Durk,20/11/2020,
The Code,King Von Featuring Polo G,20/11/2020,
Use Somebody,Kings Of Leon,1/1/2010,1
Radioactive,Kings Of Leon,1/10/2010,0
The End,Kings Of Leon,5/11/2010,1
Somethin' 'Bout A Truck,Kip Moore,24/2/2012,
Beer Money,Kip Moore,5/10/2012,
Hey Pretty Girl,Kip Moore,5/4/2013,
I'm To Blame,Kip Moore,11/9/2015,
More Girls Like You,Kip Moore,1/9/2017,
Last Shot,Kip Moore,23/11/2018,
I Smile,Kirk Franklin,11/3/2011,
Drank In My Cup,Kirko Bangz,24/2/2012,
Wavin' Flag,K'Naan,25/6/2010,0
Is Anybody Out There?,K'Naan Featuring Nelly Furtado,20/4/2012,
No Flockin,Kodak Black,13/1/2017,
Everything 1K,Kodak Black,3/3/2017,
Tunnel Vision,Kodak Black,10/3/2017,
First Day Out,Kodak Black,7/7/2017,
Patty Cake,Kodak Black,25/8/2017,
Transportin',Kodak Black,8/9/2017,
"If I'm Lyin, I'm Flyin",Kodak Black,12/10/2018,
Take One,Kodak Black,30/11/2018,
Calling My Spirit,Kodak Black,14/12/2018,
Testimony,Kodak Black,28/12/2018,
Conscience,Kodak Black Featuring Future,21/4/2017,
MoshPit,Kodak Black Featuring Juice WRLD,28/12/2018,
Gnarly,Kodak Black Featuring Lil Pump,28/12/2018,
Codeine Dreaming,Kodak Black Featuring Lil Wayne,15/12/2017,
ZEZE,Kodak Black Featuring Travis Scott & Offset,26/10/2018,
Roll In Peace,Kodak Black Featuring XXXTENTACION,8/9/2017,
Come With Me Now,KONGOS,18/4/2014,
Make It Rain,Koryn Hawthorne,8/5/2015,
Gucci Gucci,Kreayshawn,12/8/2011,
Alive,Krewella,1/3/2013,
Live For The Night,Krewella,19/7/2013,
Live Like We're Dying,Kris Allen,1/1/2010,0
Like That,Kris Wu,1/6/2018,
For The First Time In Forever,Kristen Bell & Idina Menzel,10/1/2014,
Love Is An Open Door,Kristen Bell & Santino Fontana,28/3/2014,
Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",10/1/2014,
This Girl,Kungs vs Cookin' On 3 Burners,12/8/2016,
First Time,Kygo & Ellie Goulding,19/5/2017,
Born To Be Yours,Kygo & Imagine Dragons,29/6/2018,
Lose Somebody,Kygo & OneRepublic,12/6/2020,
Firestone,Kygo Featuring Conrad,2/10/2015,
Remind Me To Forget,Kygo Featuring Miguel,27/7/2018,
It Ain't Me,Kygo x Selena Gomez,3/3/2017,
Higher Love,Kygo X Whitney Houston,12/7/2019,
iSpy,KYLE Featuring Lil Yachty,13/1/2017,
Bulletproof,La Roux,19/3/2010,0
Beneath Your Beautiful,Labrinth Featuring Emeli Sande,7/6/2013,
Thunderclouds,"Labrinth, Sia & Diplo Present... LSD",14/9/2018,
Champagne Night,Lady A,30/10/2020,
Need You Now,Lady Antebellum,1/1/2010,1
American Honey,Lady Antebellum,8/1/2010,1
Love This Pain,Lady Antebellum,22/1/2010,1
Ready To Love Again,Lady Antebellum,29/1/2010,1
Our Kind Of Love,Lady Antebellum,5/2/2010,1
Hello World,Lady Antebellum,26/11/2010,0
Just A Kiss,Lady Antebellum,20/5/2011,
We Owned The Night,Lady Antebellum,2/9/2011,
Dancin' Away With My Heart,Lady Antebellum,16/9/2011,
Wanted You More,Lady Antebellum,23/9/2011,
Downtown,Lady Antebellum,22/2/2013,
Goodbye Town,Lady Antebellum,12/7/2013,
Compass,Lady Antebellum,22/11/2013,
Bartender,Lady Antebellum,6/6/2014,
You Look Good,Lady Antebellum,21/4/2017,
What If I Never Get Over You,Lady Antebellum,31/5/2019,
Bad Romance,Lady Gaga,1/1/2010,1
Paparazzi,Lady Gaga,1/1/2010,1
Alejandro,Lady Gaga,16/4/2010,1
Born This Way,Lady Gaga,25/2/2011,0
Judas,Lady Gaga,29/4/2011,
The Edge Of Glory,Lady Gaga,27/5/2011,1
Hair,Lady Gaga,3/6/2011,
You And I,Lady Gaga,10/6/2011,
Marry The Night,Lady Gaga,10/6/2011,
Applause,Lady Gaga,30/8/2013,0
Venus,Lady Gaga,15/11/2013,
Dope,Lady Gaga,22/11/2013,
G.U.Y.,Lady Gaga,11/4/2014,
Til It Happens To You,Lady Gaga,18/3/2016,
Perfect Illusion,Lady Gaga,30/9/2016,
Million Reasons,Lady Gaga,28/10/2016,
A-YO,Lady Gaga,11/11/2016,
The Cure,Lady Gaga,5/5/2017,
I'll Never Love Again,Lady Gaga,19/10/2018,
Always Remember Us This Way,Lady Gaga,19/10/2018,
Is That Alright?,Lady Gaga,19/10/2018,
Stupid Love,Lady Gaga,13/3/2020,
Alice,Lady Gaga,12/6/2020,
Rain On Me,Lady Gaga & Ariana Grande,5/6/2020,0
Sour Candy,Lady Gaga & BLACKPINK,12/6/2020,
Shallow,Lady Gaga & Bradley Cooper,12/10/2018,
Telephone,Lady Gaga Featuring Beyonce,1/1/2010,0
Do What U Want,Lady Gaga Featuring R. Kelly,8/11/2013,
Video Games,Lana Del Rey,27/1/2012,1
Young And Beautiful,Lana Del Rey,10/5/2013,1
West Coast,Lana Del Rey,2/5/2014,
Shades Of Cool,Lana Del Rey,13/6/2014,
Ultraviolence,Lana Del Rey,20/6/2014,
High By The Beach,Lana Del Rey,28/8/2015,
Love,Lana Del Rey,10/3/2017,
Doin' Time,Lana Del Rey,13/9/2019,
Summertime Sadness,Lana Del Rey & Cedric Gervais,26/7/2013,
Lust For Life,Lana Del Rey Featuring The Weeknd,12/5/2017,
Greatest Love Story,LANCO,22/9/2017,
Canceled,Larray,30/10/2020,
Like My Mother Does,Lauren Alaina,10/6/2011,
Road Less Traveled,Lauren Alaina,10/2/2017,
You Say,Lauren Daigle,27/7/2018,
The Christmas Song,Lauren Daigle,28/12/2018,
Ghost In This House,Lauren Duski,2/6/2017,
Deja Vu,Lauren Duski,9/6/2017,
The Dance,Lauren Duski,9/6/2017,
I Like Me Better,Lauv,23/2/2018,0
I'm So Tired...,Lauv & Troye Sivan,8/2/2019,
Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",18/10/2019,
Cannonball,Lea Michele,27/12/2013,
Love Like Crazy,Lee Brice,21/5/2010,0
A Woman Like You,Lee Brice,30/12/2011,
Hard To Love,Lee Brice,29/6/2012,
I Drive Your Truck,Lee Brice,18/1/2013,
Parking Lot Party,Lee Brice,12/7/2013,
I Don't Dance,Lee Brice,2/5/2014,
Drinking Class,Lee Brice,31/10/2014,
That Don't Sound Like You,Lee Brice,4/3/2016,
Boy,Lee Brice,9/6/2017,
Rumor,Lee Brice,22/3/2019,
One Of Them Girls,Lee Brice,12/6/2020,
Hallelujah,Leonard Cohen,2/12/2016,
Someone You Loved,Lewis Capaldi,24/5/2019,1
Before You Go,Lewis Capaldi,7/2/2020,1
Bedroom Floor,Liam Payne,10/11/2017,
For You (Fifty Shades Freed),Liam Payne & Rita Ora,19/1/2018,
Strip That Down,Liam Payne Featuring Quavo,9/6/2017,
Halfway Gone,Lifehouse,1/1/2010,1
Between The Raindrops,Lifehouse Featuring Natasha Bedingfield,28/9/2012,
My Dawg,Lil Baby,29/12/2017,
Southside,Lil Baby,1/6/2018,
Close Friends,Lil Baby,19/10/2018,
Deep End,Lil Baby,19/10/2018,
Pure Cocaine,Lil Baby,14/12/2018,
Crush A Lot,Lil Baby,14/12/2018,
Global,Lil Baby,14/12/2018,
Word On The Street,Lil Baby,14/12/2018,
Woah,Lil Baby,22/11/2019,
Sum 2 Prove,Lil Baby,24/1/2020,
Emotionally Scarred,Lil Baby,13/3/2020,
Get Ugly,Lil Baby,13/3/2020,
How,Lil Baby,13/3/2020,
Same Thing,Lil Baby,13/3/2020,
Can't Explain,Lil Baby,13/3/2020,
All In,Lil Baby,8/5/2020,
Social Distancing,Lil Baby,15/5/2020,
Low Down,Lil Baby,15/5/2020,
Humble,Lil Baby,15/5/2020,
The Bigger Picture,Lil Baby,26/6/2020,
Grace,Lil Baby & 42 Dugg,13/3/2020,
We Paid,Lil Baby & 42 Dugg,15/5/2020,
Baby,Lil Baby & DaBaby,2/8/2019,
Yes Indeed,Lil Baby & Drake,25/5/2018,
Drip Too Hard,Lil Baby & Gunna,28/9/2018,
Business Is Business,Lil Baby & Gunna,19/10/2018,
Belly,Lil Baby & Gunna,19/10/2018,
I Am,Lil Baby & Gunna,19/10/2018,
Heatin Up,Lil Baby & Gunna,13/3/2020,
Never Recover,Lil Baby & Gunna Featuring Drake,19/10/2018,
Off White VLONE,Lil Baby & Gunna Featuring Lil Durk & NAV,19/10/2018,
No Sucker,Lil Baby & Moneybagg Yo,13/3/2020,
We Should,Lil Baby & Young Thug,13/3/2020,
Out The Mud,Lil Baby Featuring Future,5/7/2019,
Live Off My Closet,Lil Baby Featuring Future,13/3/2020,
Ready,Lil Baby Featuring Gunna,14/12/2018,
Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert,1/6/2018,
Commercial,Lil Baby Featuring Lil Uzi Vert,13/3/2020,
Forever,Lil Baby Featuring Lil Wayne,13/3/2020,
Time,Lil Baby Featuring Meek Mill,14/12/2018,
Earth,Lil Dicky,3/5/2019,
Freaky Friday,Lil Dicky Featuring Chris Brown,30/3/2018,
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,9/10/2015,
Viral Moment,Lil Durk,22/5/2020,
The Voice,Lil Durk,18/9/2020,
3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,22/5/2020,
Stay Down,"Lil Durk, 6LACK & Young Thug",13/11/2020,
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,7/9/2018,
Hey,Lil Jon Featuring 3OH!3,25/6/2010,0
Outta Your Mind,Lil Jon Featuring LMFAO,16/7/2010,0
Bend Ova,Lil Jon Featuring Tyga,26/9/2014,
Noticed,Lil Mosey,28/9/2018,
Kamikaze,Lil Mosey,9/11/2018,
Blueberry Faygo,Lil Mosey,21/2/2020,
Stuck In A Dream,Lil Mosey x Gunna,4/10/2019,
Panini,Lil Nas X,5/7/2019,
Rodeo,Lil Nas X & Cardi B Or Nas,5/7/2019,
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,15/3/2019,
Awful Things,Lil Peep,8/12/2017,
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,22/3/2019,
Falling Down,Lil Peep & XXXTENTACION,28/9/2018,
Gucci Gang,Lil Pump,29/9/2017,
Esskeetit,Lil Pump,27/4/2018,
Drug Addicts,Lil Pump,20/7/2018,
Butterfly Doors,Lil Pump,18/1/2019,
Be Like Me,Lil Pump Featuring Lil Wayne,8/3/2019,
Lust,Lil Skies,25/5/2018,
I,Lil Skies,15/3/2019,
Nowadays,Lil Skies Featuring Landon Cube,19/1/2018,
Red Roses,Lil Skies Featuring Landon Cube,19/1/2018,
I Know You,Lil Skies Featuring Yung Pinch,22/6/2018,
Ran$om,Lil Tecca,14/6/2019,
Did It Again,Lil Tecca,30/8/2019,
Out Of Luck,Lil Tecca,13/9/2019,
Shots,Lil Tecca,13/9/2019,
Love Me,Lil Tecca,13/9/2019,
Dolly,Lil Tecca & Lil Uzi Vert,2/10/2020,
When You Down,Lil Tecca & Polo G Featuring Lil Durk,2/10/2020,
F.N,Lil Tjay,23/8/2019,
20/20,Lil Tjay,17/1/2020,
Zoo York,Lil Tjay Featuring Fivio Foreign & Pop Smoke,22/5/2020,
Money Longer,Lil Uzi Vert,1/7/2016,
You Was Right,Lil Uzi Vert,29/7/2016,
XO TOUR Llif3,Lil Uzi Vert,14/4/2017,
Sauce It Up,Lil Uzi Vert,15/9/2017,
444+222,Lil Uzi Vert,15/9/2017,
Two,Lil Uzi Vert,15/9/2017,
X,Lil Uzi Vert,15/9/2017,
For Real,Lil Uzi Vert,15/9/2017,
No Sleep Leak,Lil Uzi Vert,15/9/2017,
Dark Queen,Lil Uzi Vert,15/9/2017,
New Patek,Lil Uzi Vert,28/9/2018,
Sanguine Paradise,Lil Uzi Vert,26/4/2019,
That's A Rack,Lil Uzi Vert,26/4/2019,
Futsal Shuffle 2020,Lil Uzi Vert,27/12/2019,
That Way,Lil Uzi Vert,13/3/2020,
Baby Pluto,Lil Uzi Vert,20/3/2020,
Lo Mein,Lil Uzi Vert,20/3/2020,
Silly Watch,Lil Uzi Vert,20/3/2020,
P2,Lil Uzi Vert,20/3/2020,
Homecoming,Lil Uzi Vert,20/3/2020,
Prices,Lil Uzi Vert,20/3/2020,
POP,Lil Uzi Vert,20/3/2020,
Bigger Than Life,Lil Uzi Vert,20/3/2020,
Celebration Station,Lil Uzi Vert,20/3/2020,
You Better Move,Lil Uzi Vert,20/3/2020,
I'm Sorry,Lil Uzi Vert,20/3/2020,
Venetia,Lil Uzi Vert,20/3/2020,
Chrome Heart Tags,Lil Uzi Vert,20/3/2020,
Bust Me,Lil Uzi Vert,20/3/2020,
Secure The Bag,Lil Uzi Vert,20/3/2020,
Myron,Lil Uzi Vert,27/3/2020,
Lotus,Lil Uzi Vert,27/3/2020,
Moon Relate,Lil Uzi Vert,27/3/2020,
I Can Show You,Lil Uzi Vert,27/3/2020,
Trap This Way (This Way),Lil Uzi Vert,27/3/2020,
Come This Way,Lil Uzi Vert,27/3/2020,
Sasuke,Lil Uzi Vert,8/5/2020,
Yessirskiii,Lil Uzi Vert & 21 Savage,27/3/2020,
Bean (Kobe),Lil Uzi Vert Featuring Chief Keef,27/3/2020,
Wassup,Lil Uzi Vert Featuring Future,27/3/2020,
No Auto,Lil Uzi Vert Featuring Lil Durk,27/3/2020,
Leaders,Lil Uzi Vert Featuring NAV,27/3/2020,
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,15/9/2017,
Neon Guts,Lil Uzi Vert Featuring Pharrell Williams,15/9/2017,
Urgency,Lil Uzi Vert Featuring Syd,20/3/2020,
UnFazed,Lil Uzi Vert Featuring The Weeknd,15/9/2017,
Money Spread,Lil Uzi Vert Featuring Young Nudy,27/3/2020,
Got The Guap,Lil Uzi Vert Featuring Young Thug,27/3/2020,
Strawberry Peels,Lil Uzi Vert Featuring Young Thug & Gunna,27/3/2020,
On Fire,Lil Wayne,1/1/2010,0
I'm Single,Lil Wayne,28/5/2010,0
I Am Not A Human Being,Lil Wayne,15/10/2010,0
Bill Gates,Lil Wayne,15/10/2010,0
How To Love,Lil Wayne,10/6/2011,
Blunt Blowin,Lil Wayne,16/9/2011,
MegaMan,Lil Wayne,16/9/2011,
Nightmares Of The Bottom,Lil Wayne,16/9/2011,
President Carter,Lil Wayne,16/9/2011,
Uproar,Lil Wayne,12/10/2018,
Dedicate,Lil Wayne,12/10/2018,
Can't Be Broken,Lil Wayne,12/10/2018,
Open Letter,Lil Wayne,12/10/2018,
Problems,Lil Wayne,12/10/2018,
Hittas,Lil Wayne,12/10/2018,
Open Safe,Lil Wayne,12/10/2018,
Took His Time,Lil Wayne,12/10/2018,
Mess,Lil Wayne,12/10/2018,
Let It All Work Out,Lil Wayne,12/10/2018,
Used 2,Lil Wayne,12/10/2018,
Demon,Lil Wayne,12/10/2018,
Perfect Strangers,Lil Wayne,12/10/2018,
Mahogany,Lil Wayne,14/2/2020,
Mama Mia,Lil Wayne,14/2/2020,
Funeral,Lil Wayne,14/2/2020,
Nothing But Trouble (Instagram Models),Lil Wayne & Charlie Puth,2/10/2015,
Rich As F**k,Lil Wayne Featuring 2 Chainz,5/4/2013,
Start This S**t Off Right,Lil Wayne Featuring Ashanti & Mack Maine,12/10/2018,
My Homies Still,Lil Wayne Featuring Big Sean,22/6/2012,
I Do It,Lil Wayne Featuring Big Sean & Lil Baby,14/2/2020,
Mirror,Lil Wayne Featuring Bruno Mars,16/9/2011,
6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,31/12/2010,
No Worries,Lil Wayne Featuring Detail,21/9/2012,
Right Above It,Lil Wayne Featuring Drake,3/9/2010,0
Gonorrhea,Lil Wayne Featuring Drake,15/10/2010,0
She Will,Lil Wayne Featuring Drake,2/9/2011,
Believe Me,Lil Wayne Featuring Drake,13/6/2014,
Love Me,Lil Wayne Featuring Drake & Future,1/2/2013,
It's Good,Lil Wayne Featuring Drake & Jadakiss,16/9/2011,
Drop The World,Lil Wayne Featuring Eminem,15/1/2010,0
F**k Today,Lil Wayne Featuring Gudda,19/2/2010,0
So Special,Lil Wayne Featuring John Legend,16/9/2011,
Mona Lisa,Lil Wayne Featuring Kendrick Lamar,12/10/2018,
Knockout,Lil Wayne Featuring Nicki Minaj,19/2/2010,0
What's Wrong With Them,Lil Wayne Featuring Nicki Minaj,15/10/2010,0
Dark Side Of The Moon,Lil Wayne Featuring Nicki Minaj,12/10/2018,
Dope New Gospel,Lil Wayne Featuring Nivea,12/10/2018,
Famous,Lil Wayne Featuring Reginae Carter,12/10/2018,
John,Lil Wayne Featuring Rick Ross,8/4/2011,
American Star,Lil Wayne Featuring Shanell AKA SNL,19/2/2010,0
Dope N****z,Lil Wayne Featuring Snoop Dogg,12/10/2018,
What About Me,Lil Wayne Featuring Sosamann,12/10/2018,
How To Hate,Lil Wayne Featuring T-Pain,16/9/2011,
Let It Fly,Lil Wayne Featuring Travis Scott,12/10/2018,
Don't Cry,Lil Wayne Featuring XXXTENTACION,12/10/2018,
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",15/7/2016,
Betrayed,Lil Xan,1/12/2017,
1 Night,Lil Yachty,12/8/2016,
T.D,"Lil Yachty & Tierra Whack Featuring A$AP Rocky & Tyler, The Creator",12/6/2020,
Yacht Club,Lil Yachty Featuring Juice WRLD,2/11/2018,
Peek A Boo,Lil Yachty Featuring Migos,5/5/2017,
NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,23/3/2018,
Get Dripped,Lil Yachty Featuring Playboi Carti,2/11/2018,
66,Lil Yachty Featuring Trippie Redd,23/3/2018,
Boom!,Lil Yachty Featuring Ugly God,23/3/2018,
Oprah's Bank Account,"Lil Yachty, Drake & DaBaby",20/3/2020,
Prayer In C,Lillywood & Robin Schulz,19/12/2014,
Say Aah,Lindsey Pavao,24/2/2012,
Hallelujah,Lindsey Stirling,8/1/2016,
The Catalyst,Linkin Park,20/8/2010,0
Waiting For The End,Linkin Park,1/10/2010,0
Iridescent,Linkin Park,17/6/2011,
Burn It Down,Linkin Park,4/5/2012,
Lost In The Echo,Linkin Park,13/7/2012,
Numb,Linkin Park,11/8/2017,0
In The End,Linkin Park,11/8/2017,0
Heavy,Linkin Park Featuring Kiiara,10/3/2017,
A Light That Never Comes,Linkin Park X Steve Aoki,4/10/2013,
Found / Tonight,Lin-Manuel Miranda & Ben Platt,30/3/2018,
Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,27/10/2017,
Little White Church,Little Big Town,18/6/2010,0
Pontoon,Little Big Town,22/6/2012,
Tornado,Little Big Town,23/11/2012,
Your Side Of The Bed,Little Big Town,30/8/2013,
Day Drinking,Little Big Town,20/6/2014,
Girl Crush,Little Big Town,20/2/2015,
Better Man,Little Big Town,18/11/2016,
"Wine, Beer, Whiskey",Little Big Town,6/11/2020,
Wings,Little Mix,19/4/2013,
Black Magic,Little Mix,28/8/2015,
Shout Out To My Ex,Little Mix,11/11/2016,
Truth Hurts,Lizzo,17/5/2019,
Juice,Lizzo,24/5/2019,
Good As Hell,Lizzo,6/9/2019,
Lay It Down,Lloyd,5/11/2010,0
"Beamer, Benz, Or Bentley",Lloyd Banks Featuring Juelz Santana,26/2/2010,0
Dedication To My Ex (Miss That),Lloyd Featuring Andre 3000 & Lil Wayne,14/10/2011,
Sexy And I Know It,LMFAO,16/9/2011,
Sorry For Party Rocking,LMFAO,10/2/2012,
